Rozdělení míst pro prodej zboží       a poskyto-vání služeb§ 1,Městská částhlavního města Prahy,Adresa místa§ 1 odst. 1,Počet prodej-ních míst a velikost prostoru (záboru) v m2(min. 2 m2)§ 3odst. 1,Prodejní doba§ 4,Doba provozu§ 4,Druh prodávaného zboží nebo poskytované služby§ 2
TRŽNÍ MÍSTA,Praha 13,"Pod hranicí,před SM KAUFLAND",250 m2,,příležitostně1 měsíc před Velikonoce-mi 20. 11.-24. 12.,velikonoční zbožívánoční zboží
TRŽNÍ MÍSTA,Praha 13,"Prusíkova,  u SM ALBERT",330 m2,,příležitostně1 měsíc před Velikonoce-mi 20. 11.-24. 12.,velikonoční zbožívánoční zboží
TRŽNÍ MÍSTA,Praha 13,Siemensova u č. 1/2715,16 m2,,celoročně,"pečivo, káva"
TRŽNÍ MÍSTA,Praha 13,"Skandinávská,před OC IKEA",10200 m2,,celoročně,"květiny, ovoce, zelenina, cukrovinky, zmrzlina, mléko z automatu"
TRŽNÍ MÍSTA,Praha 13,"Skandinávská,před OC IKEA",250 m2,,příležitostně1 měsíc před Velikonoce-mi 20. 11.-24. 12.,velikonoční zbožívánoční zboží
TRŽNÍ MÍSTA,Praha 13,"Sluneční nám.,u st. metra Hůrka, směr západní výstup",39 m2,,celoročně,"ovoce, zelenina, cukrovinky"
TRŽNÍ MÍSTA,Praha 13,Sluneční nám. u č. 15/2588,13 m2,,celoročně,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,  zmrzlina"
TRŽNÍ MÍSTA,Praha 14,"Bryksova, parc. č. 232/2, k. ú. Černý Most, pěší zóna před stanicí metra  Černý Most",432 m2,,,"ovoce, zelenina, pečivo, masné výrobky, mléčné výrobky, rybí výrobky, květiny a doplňkový sortiment, který se ke květinám váže"
TRŽNÍ MÍSTA,Praha 14,"Bryksova, parc. č. 232/2, k. ú. Černý Most, pěší zóna před stanicí metra  Černý Most",212 m2,,příležitostně1 měsíc před Velikonoce-mi20. 11. -24. 12.,velikonoční zboží (mimo textilního zboží)vánoční zboží (mimo textilního zboží)
TRŽNÍ MÍSTA,Praha 14,"Broumarská, u hřbitova,parc. č.  170, k.ú. Kyje",24 m2,,příležitostně1 měsíc před Velikonoce-mi a 20.10.-10.11.,"květiny a doplňkový sortiment, který se ke květinám váže, upomínkové předměty"
TRŽNÍ MÍSTA,Praha 14,"Broumarská, u hřbitova,parc. č.  2676, k.ú. Kyje",2        4 m2,,příležitostně1 měsíc před Velikonoce-mi a 20.10.-10.11.,"květiny a doplňkový sortiment, který se ke květinám váže, upomínkové předměty"
TRŽNÍ MÍSTA,Praha 14,"Poděbradskáparc. č. 782/21, k.ú. Hloubětín, pěší zóna u stanice metra  Hloubětín u Penny marketu",432 m2,,celoročně,"ovoce, zelenina, pečivo, masné výrobky, mléčné výrobky, rybí výrobky, květiny a doplňkový sortiment, který se ke květinám váže"
TRŽNÍ MÍSTA,Praha 14,"Poděbradskáparc. č. 782/21, pěší zóna u stanice metra   Hloubětín u Penny marketu",432 m2,,příležitostně1 měsíc před Velikonoce-mi20. 11. -24. 12.,velikonoční zboží (mimo textilního zboží)vánoční zboží (mimo textilního zboží)
TRŽNÍ MÍSTA,Praha 14,"Zálužská, parc. č. 1242, k.ú. Hloubětín, před vstupem na hřbitov",24 m2,,příležitostně1 měsíc před Velikonoce-mi a 20.10. -10.11.,"květiny a doplňkový sortiment, který se ke květinám váže, upomínkové předměty"
TRŽNÍ MÍSTA,Praha 15,"Doupovská, před NS",312 m2,po-ne8.00-18.00,celoročně,"ovoce, zelenina, textil, čištění peří, pekařské a cukrářské výrobky"
TRŽNÍ MÍSTA,Praha 15,"Hornoměcholupská, plochy a parkoviště u NS Lidl",212 m2,po-ne8.00-21.00,celoročně,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 15,"Hornoměcholupská, plochy a parkoviště u NS Billa",212 m2,po-ne8.00-21.00,celoročně,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 15,"Hornoměcholupská, plochy a parkoviště u NS Penny Market",212 m2,po-ne8.00-21.00,celoročně,"ovoce, zelenina, textilní zboží"
TRŽNÍ MÍSTA,Praha 15,"Milánská u č.p. 311, parkoviště vedle NS",220 m2,po-so8.00-18.00,celoročně,"ovoce, zelenina, uzenářské výrobky"
TRŽNÍ MÍSTA,Praha 15,náměstí Přátelství,570 m2,po-ne9.00-20.00,celoročněpříležitostně1 měsíc před Velikonoce-mi14 dní před dušičkami24. 11. -24. 12.,"ovoce, zelenina, balené cukrovinky, cukrová vata, nealkoholické nápoje, sušené květiny, upomínkové předměty, bižuterie, výrobky lidové tvorby, hračky, balené uzenářské výrobky, balené mošty, burčák, textilní zbožíobčerstvení (stravovací služby) – párek v rohlíku, vařená kukuřice, drogerievelikonoční zbožídušičkové zbožívánoční zboží včetně medoviny"
TRŽNÍ MÍSTA,Praha 15,"plukovníka Mráze, Gercenova",16 m2,po-ne 8.00-20.00,celoročně,"ovoce, zelenina, čištění peří, textilní galanterie, uzenářské výrobky, balené potraviny"
TRŽNÍ MÍSTA,Praha 15,"plukovníka Mráze u č. 24/1182,vedle OD Taškent",325 m2,po-ne8.00-18.00,celoročně,"ovoce, zelenina, textilní zboží, opravy deštníků, uzenářské výrobky, balené cukrovinky, balené potraviny, dárkové předměty, domácí potřeby"
TRŽNÍ MÍSTA,Praha 15,"Ravennská,               parc. č. 523/268,            k. ú. Horní Měcholupy",3       20 m2,po-ne8.00-19.00,celoročně,"ovoce, zelenina, balené cukrovinky, upomínkové předměty, textilní zboží"
TRŽNÍ MÍSTA,Praha 15,"Švehlova, přístupový chodník k NS Park Hostivař + přilehlé parkoviště",40650 m2,po-ne9.00-21.00,celoročněpříležitostně1 měsíc před Velikonoce-mi14 dní před dušičkami 24. 11. -24. 12.,"ovoce, zelenina, balené cukrovinky, cukrová vata,  nealkoholické nápoje, sušené květiny, upomínkové předměty, bižuterie, výrobky lidové tvorby,   hračky, balené uzenářské výrobky, balené mošty, burčák, textilní zbožíobčerstvení (stravovací služby) – párek v rohlíku, vařená kukuřicevelikonoční zbožídušičkové zbožívánoční zboží včetně medoviny"
TRŽNÍ MÍSTA,Praha 15,"U břehu, u hráze vodní nádrže Hostivař",215 m2,po-ne9.00-22.00,celoročně,"ovoce, zelenina, balené cukrovinky, zmrzlina, nealkoholické nápoje, vařená kukuřice, párek v rohlíku, balené potraviny"
TRŽNÍ MÍSTA,Praha 15,Veronské nám. u č.p. 403 u NS,1050 m2,po-ne8.00-20.00,celoročněpříležitostně1 měsíc před Velikonoce-mi 14 dní před dušičkami24. 11.-24. 12.,"ovoce, zelenina, balené cukrovinky, občerstvení (stravovací služby) včetně nealkoholických nápojů, balené potraviny, pekařské a cukrářské výrobky, uzenářské výrobky, textilní zboží,  hračky, domácí potřeby, brýle, bižuterie, dárkové předměty, knihy, drogerie, potřeby pro zvířatavelikonoční zbožídušičkové zbožívánoční zboží včetně medoviny"
TRŽNÍ MÍSTA,Praha 15,"Vladycká, parkoviště u NS Lidl",315 m2,po-ne8.00-21.00,celoročně,"ovoce, zelenina, textilní zboží, balené potraviny"
TRŽNÍ MÍSTA,Praha 16(Radotín),"nám. Osvoboditelů u č. 2/13, vedle stánku ovoce a zeleniny",18 m2,po-ne,celoročně,"upomínkové předměty, textilní a kožená galanterie, textil, obuv"
TRŽNÍ MÍSTA,Praha 16(Radotín),"nám. Osvoboditelů u č.p. 1371 a 1372,před prodejnou potravina drogerie",14150 m2,po-ne8.00-18.00,celoročně,"ovoce, zelenina, květiny, sazenice, zemědělské přebytky, upomínkové předměty, textilní a kožená galanterie, textil, bižuterie, hračky, čištění peří, opravy deštníků, broušení nožů, obuv, ryby, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,  balené potraviny, parfumerie, drogerie, potraviny živočišného původu"
TRŽNÍ MÍSTA,Praha 17(Řepy),Karlovarská u č. 45/327,110 m2,po-ne10.00-20.00,celoročně,"ovoce, zelenina, balené nealkoholické nápoje, víno"
TRŽNÍ MÍSTA,Praha 17(Řepy),Makovského u č. 2a/1349   a  2b/1392 u NS OVUS,"85212,5 m2",po-so8.00-19.00,celoročně,"květiny a doplňkový sortiment, který se ke květinám váže, ovoce, zelenina, cukrovinky, uzenářské masné výrobky, textil, dárkové předměty, vánoční a velikonoční zboží, výrobky uměleckých řemesel, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 17(Řepy),Makovského u  č.  2/1179,312 m2,po-so8.00-19.00,celoročně,"květiny a doplňkový sortiment, který se ke květinám váže, ovoce, zelenina, balené potraviny, uzenářské výrobky, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 18(Letňany),"Lesopark Letňany, parc.č. 539/3, k.ú. Letňany (u  parkoviště v zelené ploše)",16 m2,po-ne10.00-19.00,příležitostně1.4.-30.9.,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., balené potraviny"
TRŽNÍ MÍSTA,Praha 18(Letňany),"Lesopark Letňany, parc.č. 539/4, k.ú. Letňany (trojúhelník vymezený cestami v první třetině lesoparku)",16 m2,po-ne10.00-19.00,příležitostně1.4.-30.9.,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., balené potraviny"
TRŽNÍ MÍSTA,Praha 18(Letňany),"Rýmařovská u č.p.  473,u SM PLUS,parc. č. 629/56,k. ú. Letňany",4312 m2,,celoročně,"ovoce, zelenina, květiny, textil"
TRŽNÍ MÍSTA,Praha 18(Letňany),"Veselská u č.p. 663,před vchodem                   do OD Tesco",20660 m2,po-ne9.00-22.00,celoročně,"květiny a doplňkový sortiment, který se ke květinám váže, občerstvení  (stravovací služby), balené potraviny, suché plody, cukrovinky, med, lesní plody, chovatelské potřeby, výrobky z proutí, tisk, knihy,  kancelářské potřeby,  plány a mapy, dárkové předměty, zahrádkářské potřeby, hobby potřeby, bytové doplňky, broušení nožů a nůžek, výroba klíčů, obuv"
TRŽNÍ MÍSTA,Praha 19(Kbely),"centrální park,parc. č. 1167/1, 1166, 2146u amfiteátru, k.ú. Kbely",70280 m2,,celoročně,"ovoce, zelenina, květiny a sortiment, který se ke květinám váže, košíkářské zboží, ekologické zemědělské výpěstky, včelí produkty, biopotraviny, balené potraviny, pečivo, cukrovinky, zmrzlina, potraviny živočišného původu, ryby,  potřeby pro zahrádkáře, textil, oděvy, obuv, textilní a kožená galanterie,  drogerie, kosmetika, chovatelské potřeby, hračky, hobby potřeby, dřevěné výrobky, produkty lidových uměleckých řemesel z proutí, šustí, dřeva, keramiky, občerstvení (stravovací služby), pouze nealkoholické nápoje s výjimkou akcí povolených a pořádaných MČ Praha 19, velikonoční, mikulášské a vánoční zboží"
TRŽNÍ MÍSTA,Praha 19(Kbely),"Katusická, sídliště II.,parc. č. 2077,  k.ú. Kbely,  obchodní zóna",210 m2,,celoročně,"ovoce, zelenina, ryby, občerstvení (stravovací služby), velikonoční a vánoční zboží"
TRŽNÍ MÍSTA,Praha 19(Kbely),"Mladoboleslavská, parc. č. 1201/1, k.ú. Kbely, před pavilony",26 m2,po-ne9.00-18.00,celoročně,výpěstky domácích zemědělců
TRŽNÍ MÍSTA,Praha 19(Kbely),"Mladoboleslavská, parc. č. 2101, k.ú. Kbely, před motorestem",14 m2,,celoročně,výpěstky domácích zemědělců
TRŽNÍ MÍSTA,Praha 19(Kbely),"Před Lidovým domem,  parc. č. 2068/1, k.ú. Kbely",30120 m2,,celoročně,"ovoce, zelenina, květiny              a sortiment, který se ke květinám váže, košíkářské a proutěné zboží, ekologické zemědělské výpěstky, včelí produkty, biopotraviny, pečivo, balené potraviny, potraviny živočišného původu, ryby, pečivo, cukrovinky, zmrzlina, lesní plody, potřeby pro zahrádkáře, textil, oděvy, textilní a kožená galanterie, obuv, tašky, batohy, drogerie, kosmetika, chovatelské potřeby, hračky, dřevěné výrobky, hobby potřeby, výrobky uměleckých řemesel,  občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,  velikonoční zboží, mikulášské a vánoční zboží"
TRŽNÍ MÍSTA,Praha 19(Kbely),"U bývalé hasičské zbrojnice, parc.č. 866/1,2, 865/2, 850/1, 850/12, k.ú. Kbely",2080 m2,,celoročně,"ovoce, zelenina, květiny a sortiment, který se ke květinám váže, košíkářské  zboží, ekologické zemědělské výpěstky, včelí produkty, biopotraviny,  balené potraviny, pečivo, cukrovinky, zmrzlina,potraviny živočišného původu, ryby,  potřeby pro zahrádkáře, textil, oděvy, obuv, textilní a kožená galanterie,  drogerie, kosmetika, chovatelské potřeby, hračky, hobby potřeby, dřevěné výrobky, produkty lidových uměleckých řemesel z proutí, šustí, dřeva, keramiky, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,   velikonoční, mikulášské a vánoční zboží"
TRŽNÍ MÍSTA,Praha 19(Kbely),"Před SM BILLAparc. č. 4/7, k.ú. Kbely",1040 m2,,celoročně,"ovoce, zelenina, květiny a sortiment, který se ke květinám váže, košíkářské a proutěné zboží, ekologické zemědělské výpěstky, včelí produkty, biopotraviny, pečivo, balené potraviny, potraviny živočišného původu, ryby, pečivo, cukrovinky, zmrzlina, lesní plody, potřeby pro zahrádkáře, textil, oděvy, textilní a kožená galanterie, obuv, tašky, batohy, drogerie, kosmetika, chovatelské potřeby, hračky, dřevěné výrobky, hobby potřeby, výrobky uměleckých řemesel,  občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,    velikonoční zboží, mikulášské a vánoční zboží"
TRŽNÍ MÍSTA,Praha 19(Kbely),"Okolí rybníka podél         ul. Žacléřsképarc. č. 2/4, k.ú. Kbely",2080 m2,,celoročně,"ovoce, zelenina, květiny             a sortiment, který                      se ke květinám váže, košíkářské a proutěné zboží, ekologické zemědělské výpěstky, včelí produkty, biopotraviny, pečivo, balené potraviny, potraviny živočišného původu, ryby, pečivo, cukrovinky, zmrzlina, lesní plody, potřeby                 pro zahrádkáře, textil, oděvy, textilní a kožená galanterie, obuv, tašky, batohy, drogerie, kosmetika, chovatelské potřeby, hračky, dřevěné výrobky, hobby potřeby, výrobky uměleckých řemesel, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., velikonoční zboží, mikulášské a vánoční zboží"
TRŽNÍ MÍSTA,Praha 19(Kbely),"zahrada Lidového domu, parc. č.  868/1, k. ú. Kbely",2080 m2,,celoročně,"ovoce, zelenina, květiny a sortiment, který se ke květinám váže, košíkářské a proutěné zboží, ekologické zemědělské výpěstky, včelí produkty, biopotraviny, pečivo, balené potraviny, potraviny živočišného původu, ryby, pečivo, cukrovinky, zmrzlina, lesní plody, potřeby pro zahrádkáře, textil, oděvy, textilní a kožená galanterie, obuv, tašky, batohy, drogerie, kosmetika, chovatelské potřeby, hračky, dřevěné výrobky, hobby potřeby, výrobky uměleckých řemesel,  občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,    velikonoční zboží, mikulášské a vánoční zboží"
TRŽNÍ MÍSTA,Praha 20(Horní Počernice),"Chodovická u č. 30/2311, k.ú. Horní Počernice, na chodníku před SM Albert a prodejnou Schlecker",216 m2,8.00-18.00,celoročně,"textil,  obuv, dárkové předměty, hračky,  knihy, květiny, masné a uzenářské výrobky"
TRŽNÍ MÍSTA,Praha 20(Horní Počernice),"Na Chvalské tvrzi,u Náchodské,před křižovatkou s Božanovskou,parc. č. 1984, 1987/1, 1990 a 1991, k.ú. Horní Počernice",1001000 m2,po-ne6.00-22.00,celoročně,"cukrovinky, nápoje, grilovaná kuřata, uzeniny, textilní a kožená galanterie, bižuterie, hračky, lidová tvorba, pivo, ovoce, zelenina, stromky, sadba, včelařské produkty, vejce, koření, bylinky, pekařské speciality, suché plody, občerstvení (stravovací služby), balené potraviny, květiny           a sortiment, který                      se ke květinám váže, knihy, kosmetika, sluneční brýle, drogistické zboží, upomínkové a umělecké předměty,  proutěné zboží, velikonoční, mikulášské   a vánoční zboží"
TRŽNÍ MÍSTA,Praha 20(Horní Počernice),"parkoviště za čerpací stanicí pohonných hmot Benzina, mezi ulicemi Náchodská a Mezilesí, parc. č. 2196, k.ú. Horní Počernice",22180 m2,,celoročně,"ovoce, zelenina, med, drogerie, kožená a textilní galanterie, obuv, bižuterie, hračky, lidová tvorba, drobná elektronika, potřeby pro domácnost, knihy, dárkové předměty, maso, masné výrobky, pečivo"
TRŽNÍ MÍSTA,Praha 20(Horní Počernice),"Ratibořickáod Chodovické, k hranici pozemku mateřské školy, vedle  SM  Albert",15120 m2,po-ne6.00-20.00,celoročně,"ovoce, zelenina, cukrovinky,    drogerie,  textilní a kožená galanterie, bižuterie, hračky, lidová tvorba, chovatelské potřeby, opravy deštníků a obuvi, čištění peří, zhotovení klíčů"
TRŽNÍ MÍSTA,Praha 20(Horní Počernice),"odstavný záliv na komunikaci Náchodská ve směru do Prahy,před křižovatkous ul. Bořetickoua U Županských,parc. č. 4496, k.ú. Horní Počernice",216 m2,,celoročně,"ovoce, zelenina, občerstvení (stravovací služby) – grilovaná kuřata, textilní a kožená galanterie, výrobky z proutí, pečivo, pekařské speciality, balené potraviny"
TRŽNÍ MÍSTA,Praha 20(Horní Počernice),"odstavný záliv na Náchodské ve směru z Prahy, za křižovatkou s ul. Bořetickoua U Županských,parc. č. 4496, k.ú. Horní Počernice",110 m2,,celoročně,"ovoce, zelenina, občerstvení (stravovací služby) – grilovaná kuřata, textilní a kožená galanterie, výrobky z proutí, pečivo, pekařské speciality, balené potraviny"
TRŽNÍ MÍSTA,Praha 21(Újezdnad Lesy),"Malešovská u č. 1652, v atriu nemovitosti před SM Albert",210 m2,8.00-18.00,,"dárkové předměty, hračky,  knihy, květiny, uzenářské výrobky"
TRŽNÍ MÍSTA,Praha 21(Újezdnad Lesy),"sídliště Rohožník, otočka BUS,parc. č. 4351/1 a  4351/3,k. ú. Újezd n. Lesy",119 m2,po-pá4.30-11.00so6.00-12.0014.00-17.00ne8.00-11.0014.00-17.00,celoročně,"tisk, tabák, drogistické zboží, bižuterie, balené potraviny, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,    papírnictví"
TRŽNÍ MÍSTA,Praha 21(Újezdnad Lesy),"sídliště Rohožník, otočka BUS,parc. č. 4351/1 a 4351/3, k. ú. Újezd n. Lesy",116 m2,po-so8.00-11.3014.00-18.00,celoročně,"květiny, ovoce, zelenina, přebytky ze zahrady, balené potraviny, suchá vazba, textil, sluneční brýle, potřeby            pro domácnost, oděvy"
TRŽNÍ MÍSTA,Praha 22(Uhříněves),"Kašperská roh Podleská,na pozemku parc. č.  956/4, k.ú. Uhříněves",124 m2,po-ne7.00-19.00,celoročně,"občerstvení (stravovací služby) – smažená jídla, teplá jídla, lahůdkové výrobky – chlebíčky, saláty, pečivo, balené cukrovinky, nealkoholické nápoje a pivo v orig.obalech"
TRŽNÍ MÍSTA,Praha 22(Uhříněves),"parkoviště u vjezdu do areálu Pragochemy, s. r. o., část pozemku parc. č. 852/1, k. ú. Uhříněves",16 m2,po-ne10.00-22.00,příležitostně15.4. - 30. 9.,točená zmrzlina
TRŽNÍ MÍSTA,Praha 22(Uhříněves),"U Nadýmače, parc. č. 1850, k.ú. Uhříněves",1220 m2,po-ne11.00-22.00,příležitostně1.3. - 31.10.,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 22(Uhříněves),"Uhříněves, parkoviště        u vjezdu do areálu Pragochema, s. r. o., část pozemku parc. č. 852/1,   k.ú. Uhříněves",110 m2,po-pá10.00-18.00so9.00-18.00,celoročně,"uzenářské výrobky českých řeznictví, balené pečivo, balené nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha -Běchovice,"Českobrodská, při čerpací stanici Petr, pozemek parc.č. 1205/3, 1205/46, 1205/49, 1205/2, k.ú. Běchovice",1140 m2,,celoročně,občerstvení (stravovací služby)
TRŽNÍ MÍSTA,Praha -Běchovice,"pozemek parc. č. 727, k.ú. Běchovice, trvalý travní porost",440 m2,,celoročně,"ovoce, zelenina, české ekologické zemědělské a včelařské produkty, upomínkové předměty, hračky, lidová tvorba, textilní galanterie, chovatelské potřeby, čištění peří, broušení nožů a nůžek, květiny, sazenice, bylinky, koření, knihy, velikonoční, dušičkové a vánoční zboží, občerstvení (stravovací služby), nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha -Běchovice,"veřejné prostranstvíparc. č. 61, k.ú. Běchovice,  podél zeleného pásu (chodníku),blízko samoobsluhy",2080 m2,po-ne8.00-20.00,celoročně,"ovoce, zelenina, upomínkové předměty, text.  galanterie"
TRŽNÍ MÍSTA,Praha -Běchovice,"Za poštovskou zahradou    u č.p. 479, parc. č. 50/1, k.ú. Běchovice,  vydlážděný pás              mezi budovou č.p. 479 a fotbalovým hřištěm",40425 m2,,celoročně,"ovoce, zelenina, upomínkové předměty, textil, textilní galanterie, kosmetika, drogerie, chovatelské potřeby, lidová tvorba, čištění peří, broušení nožů a nůžek, cukrovinky, cukrová vata, zmrzlina, upomínkové předměty, hračky, květiny a sortiment, který se ke květinám váže,  knihy, české ekologické zemědělské a včelařské produkty, potraviny živočišného původu (nechlazené, chlazené, mražené, balené a nebalené) koření, bylinky, velikonoční zboží, dušičkové a  vánoční zboží, občerstvení, nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha - Benice,"Květnového povstání,před  domy č.p. 25 a č.p. 26, veřejné prostranství",1550 m2,,celoročně,"čištění peří, broušení nožů a nůžek, občerstvení, zemědělské a včelařské produkty, upomínkové předměty, velikonoční a dušičkové zboží"
TRŽNÍ MÍSTA,Praha – Čakovice,"Cukrovarská, proluka za poštou, parc.č. 131, k.ú. Čakovice",1550 m2,7.00-22.00,celoročně,"květiny a doplňkový sortiment, který se ke květinám váže,  ovoce, zelenina, sadba, věnce,  textil, textilní a kožená galanterie, čištění peří, opravy deštníků, broušení nožů a nůžek"
TRŽNÍ MÍSTA,Praha – Čakovice,"nám. Jiřího Berana,k. ú. Čakovice",15200 m2,7.00-24.00,celoročně,"květiny a doplňkový sortiment, který se ke květinám váže,  ovoce, zelenina, sadba, věnce,  textil, textilní a kožená galanterie, čištění peří, opravy deštníků, broušení nožů a nůžek"
TRŽNÍ MÍSTA,Praha – Čakovice,"Schoellerova, parkoviště u hřbitova, parc.č. 136/1, k.ú. Čakovice",1550 m2,7.00-18.00,celoročně,"květiny a doplňkový sortiment, který se ke květinám váže,  ovoce, zelenina, sadba, věnce,  textil, textilní a kožená galanterie, čištění peří, opravy deštníků, broušení nožů a nůžek"
TRŽNÍ MÍSTA,Praha -Dolní Chabry,"Bílenecké nám.,         parc. č. 1390, k. ú. Dolní Chabry",1025 m2,po-so8.00-20.00,příležitostně,"textilní galanterie, chovatelské potřeby, lidová tvorba, čištění peří, broušení nožů a nůžek, cukrovinky, upomínkové předměty, hračky, květiny, knihy, české ekologické zemědělské a včelařské produkty, koření, bylinky, velikonoční zboží,  dušičkové zboží, vánoční zboží, občerstvení"
TRŽNÍ MÍSTA,Praha -Dolní Chabry,"Hrušovanské nám.,parc. č. 1393, k. ú. Dolní Chabry",20200 m2,,celoročně,"ovoce, zelenina, květiny, české ekologické zemědělské a včelařské produkty, koření, bylinky, balené potraviny, ryby, cukrovinky, upomínkové předměty, hračky,  knihy, textilní zboží, velikonoční, dušičkové a vánoční zbožíobčerstvení (stravovací služby)"
TRŽNÍ MÍSTA,Praha -Dolní Měcholupy,"Ke Slatinám, chodníkpřed č. p. 84, parc. č. 779, k. ú. Dolní Měcholupy",26 m2,,celoročně,"ovoce, zelenina, prodej ryb"
TRŽNÍ MÍSTA,Praha -Dolní Měcholupy,"Kutnohorská, před SM, parc. č. 32/1, k. ú. Dolní Měcholupy",210 m2,,celoročně,"ovoce, zelenina, čištění peří, broušení nožů a nůžek, prodej ryb"
TRŽNÍ MÍSTA,Praha - Dubeč,"K vilkám, parc. č. 101, k.ú. Dubeč",123 m2,,celoročně,"ovoce, zelenina, občerstvení (stravovací služby), balené potraviny, cukrovinky, upomínkové předměty"
TRŽNÍ MÍSTA,Praha - Dubeč,"Městská, plocha u ulice Městská, u retenční nádrže, k.ú. Dubeč",16 m2,,příležitostně,občerstvení (stravovací služby)
TRŽNÍ MÍSTA,Praha - Dubeč,"Městská, Starodubečská a Za pavilónem -  veřejné prostranství mezi těmito ulicemi",15200 m2,,příležitostně,"ovoce, zelenina, občerstvení (stravovací služby), balené potraviny, upomínkové předměty, cukrovinky, textil, obuv"
TRŽNÍ MÍSTA,Praha - Dubeč,"parkoviště a veřejné prostranství mezi Špejcharem a DPS Harmonie, parc.č. 998/1, 998/8, 1006/1, k.ú. Dubeč",251 500 m2,,příležitostně,"ovoce, zelenina, balené potraviny, upomínkové předměty, občerstvení (stravovací služby)"
TRŽNÍ MÍSTA,Praha - Dubeč,"Sokolovna, veřejné prostranství mezi sokolovnou a základní školou",10,,celoročně,"upomínkové předměty, cukrovinky, textil, obuv"
TRŽNÍ MÍSTA,Praha - Klánovice,"U trativodu, u vchodu do podchodu ČD, parc.č. 1174/1, k.ú. Klánovice",115 m2,,celoročně,"občerstvení (stravovací služby), balené potraviny"
TRŽNÍ MÍSTA,Praha - Klánovice,"V Soudním, u sportovní haly, parc.č. 3/7, k.ú. Klánovice",110 m2,stř9.00-18.00,celoročně,"maso, uzeniny"
TRŽNÍ MÍSTA,Praha - Kolovraty,"Do Kopečka, u zastávky MHD, parc.č. 30/1, k.ú. Lipany",2050 m2,,celoročně,"občerstvení (stravovací služby), potraviny, služby"
TRŽNÍ MÍSTA,Praha - Kolovraty,"Dvůr Atrium parc. č. 409 a 410, k. ú. Kolovraty",2040 m2,,celoročně,"květiny, ovoce, zelenina, upomínkové předměty, tisk, knihy, textil, drogerie, sklo, keramika, porcelán, občerstvení (stravovací služby)"
TRŽNÍ MÍSTA,Praha - Kolovraty,"Mírová, před KD,parc. č.  68/1,k. ú. Kolovraty",26 m2,,celoročně,"květiny, ovoce, zelenina, upomínkové předměty, tisk, knihy, textil, drogerie, sklo, porcelán, občerstvení (stravovací služby)"
TRŽNÍ MÍSTA,Praha - Kolovraty,"U kostela, parc. č. 9,k. ú. Kolovraty",310 m2,,celoročně,"květiny, upomínkové předměty, tisk, knihy"
